date,gain_simule,solde_avant,solde_apres
2025-06-17 17:07:21,220922.6,100.0,221022.6
2025-06-17 17:38:38,605.2674,705.2674,1310.5348
2025-06-17 17:39:42,605.2674,1310.5348,1915.8022
2025-06-17 17:41:09,605.2674,1915.8022,2521.0696
2025-06-17 17:47:59,605.2674,2521.0696,3126.337
2025-06-17 17:51:00,605.2674,3126.337,3731.6044
2025-06-17 17:53:51,605.2674,3731.6044,4336.8718
2025-06-17 18:01:11,605.2674,4336.8718,4942.1392
2025-07-16 14:59:19,0,1000,1000
2025-07-16 15:04:46,0,1000,1000
2025-07-16 15:07:11,0,1000,1000
2025-07-16 15:09:44,0,1000,1000
2025-07-16 15:12:51,0,1000,1000
2025-07-16 15:15:36,0,1000,1000
2025-07-18 16:37:41,3697.6852,18488.4259,22186.1111,-0.0727
2025-07-18 16:37:42,4437.2222,22186.1111,26623.3333,-0.0688
2025-07-18 16:37:44,5324.6667,26623.3333,31947.9999,-0.0644
2025-07-18 16:37:45,6389.6,31947.9999,38337.5999,-0.0593
2025-07-18 16:37:46,7667.52,38337.5999,46005.1199,-0.0533
2025-07-18 16:37:47,9201.024,46005.1199,55206.1439,-0.0464
2025-07-18 16:37:48,11041.2288,55206.1439,66247.3727,-0.0384
2025-07-18 16:37:49,13249.4745,66247.3727,79496.8472,-0.0291
2025-07-18 16:37:50,15899.3694,79496.8472,95396.2166,-0.0182
2025-07-18 16:37:51,19079.2433,95396.2166,114475.46,-0.0056
2025-07-18 16:37:52,22895.092,114475.46,137370.552,0.0091
2025-07-18 16:37:53,27474.1104,137370.552,164844.6624,0.0263
2025-07-18 16:37:54,32968.9325,164844.6624,197813.5948,0.0463
2025-07-18 16:37:55,39562.719,197813.5948,237376.3138,0.0697
2025-07-19 12:18:42,200.0,1000,1200.0,0.0
2025-07-19 12:18:45,240.0,1200.0,1440.0,-0.095
2025-07-19 12:18:46,288.0,1440.0,1728.0,-0.0945
2025-07-19 12:18:47,345.6,1728.0,2073.6,-0.0939
2025-07-19 12:18:48,414.72,2073.6,2488.32,-0.0933
2025-07-19 12:18:49,497.664,2488.32,2985.984,-0.0926
2025-07-19 12:18:50,597.1968,2985.984,3583.1808,-0.0917
2025-07-19 12:18:51,716.6362,3583.1808,4299.817,-0.0908
2025-07-19 12:18:52,859.9634,4299.817,5159.7804,-0.0897
2025-07-19 12:18:53,1031.9561,5159.7804,6191.7364,-0.0884
2025-07-19 12:18:54,1238.3473,6191.7364,7430.0837,-0.087
2025-07-19 12:18:55,1486.0167,7430.0837,8916.1004,-0.0854
2025-07-19 12:18:56,1783.2201,8916.1004,10699.3205,-0.0835
2025-07-19 12:18:57,2139.8641,10699.3205,12839.1846,-0.0813
2025-07-19 12:18:58,2567.8369,12839.1846,15407.0216,-0.0789
2025-07-19 12:18:59,3081.4043,15407.0216,18488.4259,-0.076
2025-07-19 12:19:00,3697.6852,18488.4259,22186.1111,-0.0727
2025-07-19 12:19:01,4437.2222,22186.1111,26623.3333,-0.0688
2025-07-19 12:19:02,5324.6667,26623.3333,31947.9999,-0.0644
2025-07-19 12:19:03,6389.6,31947.9999,38337.5999,-0.0593
2025-07-19 12:19:04,7667.52,38337.5999,46005.1199,-0.0533
2025-07-19 12:19:05,9201.024,46005.1199,55206.1439,-0.0464
2025-07-19 12:19:05,11041.2288,55206.1439,66247.3727,-0.0384
2025-07-19 12:19:06,13249.4745,66247.3727,79496.8472,-0.0291
2025-07-19 12:19:07,15899.3694,79496.8472,95396.2166,-0.0182
2025-07-19 12:19:08,19079.2433,95396.2166,114475.46,-0.0056
2025-07-19 12:19:09,22895.092,114475.46,137370.552,0.0091
2025-07-19 12:19:11,27474.1104,137370.552,164844.6624,0.0263
2025-07-19 12:19:11,32968.9325,164844.6624,197813.5948,0.0463
2025-07-19 12:19:14,39562.719,197813.5948,237376.3138,0.0697
2025-07-20 10:31:38,200.0,1000,1200.0,0.0
